Player_Name,Fours,Sixes
"Jos Buttler",83,45
"David Warner",88,31
"Shubman Gill",85,33
"Yashasvi Jaiswal",82,26
"Rishabh Pant",68,37
"KL Rahul",66,32
"Faf du Plessis",60,36
"Devon Conway",77,18
"Suryakumar Yadav",65,28
"Kane Williamson",64,28
"David Warner",63,26
"Ruturaj Gaikwad",64,23
"David Warner",65,21
"Virat Kohli",64,22
"Ajinkya Rahane",73,10
"Faf du Plessis",60,23
"KL Rahul",58,23
"Virat Kohli",65,16
"David Warner",69,10
"Shikhar Dhawan",63,16
"Shikhar Dhawan",67,12
"David Warner",57,21
"KL Rahul",48,30
"Suryakumar Yadav",61,16
"Ruturaj Gaikwad",46,30
"KL Rahul",45,30
"Shikhar Dhawan",64,11
"Prithvi Shaw",56,18
"KL Rahul",49,25
"Shikhar Dhawan",59,14
"Jos Buttler",52,21
"Suryakumar Yadav",61,11
"Ishan Kishan",54,18
"Quinton de Kock",47,23
"Quinton de Kock",45,25
"Virat Kohli",52,18
"Sanju Samson",43,26
"Quinton de Kock",46,22
"Dinesh Karthik",54,14
"David Warner",52,15
"Ajinkya Rahane",53,13
"Ishan Kishan",36,30
"Jonny Bairstow",48,18
"Quinton de Kock",52,13
"Rohit Sharma",49,16
"Dinesh Karthik",49,16
"Rishabh Pant",37,27
"Ajinkya Rahane",54,9
"David Warner",39,24
"Shubman Gill",51,11
"Shubman Gill",50,12
"Shreyas Iyer",41,21
"Rohit Sharma",52,10
"Rohit Sharma",41,21
"Shikhar Dhawan",53,9
"Sanju Samson",45,17
"Faf du Plessis",49,13
"Shikhar Dhawan",49,12
"Rinku Singh",31,29
"Rahul Tripathi",40,20
"Mayank Agarwal",42,18
"Devdutt Padikkal",51,8
"Shikhar Dhawan",47,12
"Shikhar Dhawan",51,8
"Virat Kohli",46,13
"Mayank Agarwal",44,15
"Devdutt Padikkal",44,14
"MS Dhoni",32,25
"Prabhsimran Singh",38,19
"Heinrich Klaasen",32,25
"Shreyas Iyer",40,16
"Ishan Kishan",45,11
"Shikhar Dhawan",49,7
"Jos Buttler",42,14
"Faf du Plessis",42,14
"David Warner",41,14
"David Miller",32,23
"David Miller",34,21
"Wriddhiman Saha",47,8
"Shreyas Iyer",41,14
"Suryakumar Yadav",45,10
"MS Dhoni",24,30
"Ajinkya Rahane",45,9
"Prithvi Shaw",45,9
"Devdutt Padikkal",40,14
"MS Dhoni",38,15
"Ajinkya Rahane",42,11
"Shubman Gill",44,9
"Manish Pandey",35,18
"Venkatesh Iyer",32,21
"KL Rahul",37,16
"Rishabh Pant",42,10
"Rishabh Pant",28,24
"David Miller",28,24
"Nicholas Pooran",26,26
"Rohit Sharma",35,17
"Jos Buttler",38,14
"Virat Kohli",43,9
"Rahul Tripathi",41,11
"Rishabh Pant",35,16
"Wriddhiman Saha",33,18
"Shikhar Dhawan",45,6
"Sanju Samson",32,19
"Faf du Plessis",36,15
"Shreyas Iyer",29,21
"Suryakumar Yadav",40,10
"Sanju Samson",25,24
"Sanju Samson",30,19
"Dinesh Karthik",27,22
"MS Dhoni",25,23
"Nicholas Pooran",23,25
"Ruturaj Gaikwad",33,14
"Shivam Dube",12,35
"Prithvi Shaw",37,10
"Wriddhiman Saha",40,7
"Sanju Samson",21,26
"Shreyas Iyer",36,10
"Rohit Sharma",27,19
"MS Dhoni",22,23
"David Warner",34,11
"B. Sai Sudharsan",33,12
"Manish Pandey",35,10
"Rajat Patidar",27,18
"MS Dhoni",27,17
"Ajinkya Rahane",39,5
"Ajinkya Rahane",35,9
"Jonny Bairstow",31,13
"Shikhar Dhawan",35,8
"Jitesh Sharma",22,21
"Jonny Bairstow",34,9
"Jos Buttler",27,16
"MS Dhoni",22,20
"David Warner",28,14
"David Miller",21,21
"Vijay Shankar",27,15
"Ishan Kishan",29,13
"Shikhar Dhawan",37,5
"Sanju Samson",25,17
"Jos Buttler",27,15
"Shimron Hetmyer",21,21
"Yashasvi Jaiswal",32,10
"Faf du Plessis",37,5
"Ajinkya Rahane",38,3
"David Warner",27,14
"Nitish Rana",24,17
"Rohit Sharma",28,13
"Sanju Samson",28,13
"Dinesh Karthik",30,11
"Dinesh Karthik",38,3
"Ajinkya Rahane",24,16
"Rishabh Pant",31,9
"Manish Pandey",34,6
"Manish Pandey",28,12
"Rohit Sharma",31,9
"Jos Buttler",27,13
"Virat Kohli",32,8
"Mayank Agarwal",26,14
"Suryakumar Yadav",23,16
"Ishan Kishan",22,17
"Hardik Pandya",14,25
"Virat Kohli",23,16
"Dinesh Karthik",28,11
"Dinesh Karthik",32,7
"Rahul Tripathi",29,10
"Prithvi Shaw",27,10
"Devdutt Padikkal",31,6
"Nicholas Pooran",16,21
"Rohit Sharma",25,12
"Quinton de Kock",29,7
"Dinesh Karthik",22,14
"MS Dhoni",26,9
"Prithvi Shaw",27,8
"Nehal Wadhera",23,12
"Jonny Bairstow",20,15
"Shimron Hetmyer",12,23
"Mayank Agarwal",29,6
"Devon Conway",22,12
"MS Dhoni",26,8
"Phil Salt",24,10
"Manish Pandey",28,6
"Manish Pandey",27,7
"Jitesh Sharma",22,12
"Jos Buttler",23,11
"Virat Kohli",23,11
"Virat Kohli",23,11
"Mayank Agarwal",19,15
"Faf du Plessis",26,7
"MS Dhoni",18,14
"Rahmanullah Gurbaz",17,15
"KL Rahul",28,4
"Dinesh Karthik",30,2
"Dinesh Karthik",26,6
"MS Dhoni",21,10
"MS Dhoni",15,16
"MS Dhoni",22,9
"Shubman Gill",21,10
"David Miller",18,13
"Kane Williamson",29,2
"Manish Pandey",21,10
"Ishan Kishan",21,10
"Shimron Hetmyer",19,12
"Rahul Tripathi",21,10
"Wriddhiman Saha",29,1
"Kane Williamson",20,10
"Mayank Agarwal",23,7
"Wriddhiman Saha",24,5
"Manish Pandey",22,7
"Dinesh Karthik",22,7
"Dinesh Karthik",20,9
"Mayank Agarwal",23,6
"Wriddhiman Saha",20,8
"Quinton de Kock",20,8
"Tim David",12,16
"Rilee Rossouw",17,11
"Sanju Samson",20,8
"Shubman Gill",22,5
"Manish Pandey",22,5
"Tim David",12,15
"David Miller",19,7
"Wriddhiman Saha",16,10
"Manish Pandey",17,9
"Shikhar Dhawan",23,3
"Atharva Taide",20,6
"Faf du Plessis",17,9
"Rahul Tripathi",18,8
"Rishabh Pant",19,6
"Matthew Wade",23,2
"Kane Williamson",16,8
"Rinku Singh",17,7
"Nicholas Pooran",10,14
"Sanju Samson",16,8
"Sanju Samson",19,5
"Dinesh Karthik",20,4
"MS Dhoni",16,7
"Quinton de Kock",19,4
"Suryakumar Yadav",18,5
"Shimron Hetmyer",11,12
"Faf du Plessis",17,6
"Ruturaj Gaikwad",16,6
"Shahrukh Khan",13,9
"Quinton de Kock",18,4
"David Warner",15,6
"David Warner",16,5
"Manish Pandey",17,4
"Abdul Samad",10,11
"Suryakumar Yadav",12,8
"Dhruv Jurel",11,9
"Mayank Agarwal",16,4
"Wriddhiman Saha",12,7
"Shahrukh Khan",9,10
"Dinesh Karthik",15,4
