Player_Name,Total_Catches
"MS Dhoni",142
"Dinesh Karthik",141
"Shikhar Dhawan",88
"Wriddhiman Saha",88
"Manish Pandey",82
"Sanju Samson",76
"David Miller",70
"Ajinkya Rahane",69
"Faf du Plessis",69
"David Warner",66
"Virat Kohli",66
"Rishabh Pant",64
"Quinton de Kock",64
"KL Rahul",61
"Suryakumar Yadav",57
"Mayank Agarwal",56
"Jos Buttler",52
"Rohit Sharma",43
"Ishan Kishan",42
"Shubman Gill",36
"Shreyas Iyer",34
"Ruturaj Gaikwad",31
"Kane Williamson",28
"Shimron Hetmyer",28
"Rahul Tripathi",26
"Nicholas Pooran",25
"Devdutt Padikkal",24
"Rinku Singh",23
"Jonny Bairstow",20
"Prithvi Shaw",16
"Tim David",16
"Shahrukh Khan",14
"Yashasvi Jaiswal",12
"Jitesh Sharma",12
"Anuj Rawat",12
"Hardik Pandya",10
"Rahmanullah Gurbaz",10
"Suyash S Prabhudessai",10
"Devon Conway",8
"Abhinav Manohar",8
"Matthew Wade",7
"Shivam Dube",6
"Prerak Mankad",6
"Heinrich Klaasen",6
"Atharva Taide",5
"Rilee Rossouw",5
"Phil Salt",5
"Rajat Patidar",5
"K.S Bharat",4
"Abdul Samad",4
"Abishek Porel",4
"Nehal Wadhera",4
"Nitish Rana",4
"Vijay Shankar",3
"B. Sai Sudharsan",3
"Prabhsimran Singh",3
"Liam Livingstone",3
"Harpreet Bhatia",3
"Venkatesh Iyer",3
"Yash Dhull",2
"Vishnu Vinod",1
"Dhruv Jurel",1
"Riyan Parag",1
"Mahipal Lomror",1
"Anmolpreet Singh",1
"Abhishek Sharma",1
"Sherfane Rutherford",0
"Romario Shepherd",0
"Ashton Turner",0
"Tristan Stubbs",0
"Karn Sharma",0
"Ricky Bhui",0
"Travis Head",0
"Sanvir Singh",0
